zip_code,infection_score
33609,Not Available
33175,5
33525,Not Available
34478,3
34209,0
32978,10
33912,6
32547,3
33321,0
32073,6
33324,1
33024,6
32514,7
32177,2
33407,Not Available
33952,0
33709,0
32405,0
33511,1
33990,6
34950,0
33770,1
34428,Not Available
34972,Not Available
33458,10
32308,0
33615,Not Available
34667,0
33484,0
33573,0
34952,4
34613,0
34695,0
32561,Not Available
34223,Not Available
33428,0
33470,0
33414,0
33065,0
33028,4
33155,0
33029,1
34119,0
33401,0
33407,0
33331,10
32159,0
32935,10
32550,10
33146,Not Available
34202,Not Available
34769,1
32216,7
32456,Not Available
33196,4
32940,Not Available
32907,6
33544,10
34758,Not Available
32068,0
30720,0
30286,Not Available
31501,0
30742,Not Available
30041,2
30606,0
31703,0
30114,0
30322,0
30117,4
30180,0
30240,0
30014,Not Available
30701,0
31405,0
31520,8
30635,Not Available
30901,2
30501,2
30120,6
30223,2
30577,Not Available
30912,0
30060,0
31403,4
31792,0
30904,Not Available
30529,Not Available
30535,Not Available
30141,Not Available
31419,6
31719,Not Available
30680,Not Available
30655,Not Available
30512,Not Available
30162,8
31901,0
31093,5
31513,Not Available
31750,Not Available
30606,0
30458,2
30033,0
30308,0
30303,3
30342,4
30309,0
31082,Not Available
30045,0
31533,10
30012,0
31023,Not Available
31794,5
31015,0
31768,Not Available
31201,0
30401,Not Available
30824,Not Available
30312,0
39828,Not Available
31603,0
31545,Not Available
31021,0
30474,Not Available
31995,7
39819,Not Available
31036,Not Available
30417,Not Available
30106,0
31558,Not Available
31061,10
31069,Not Available
30342,5
31217,0
30274,Not Available
30165,0
30909,0
30134,10
30533,Not Available
30513,Not Available
30281,0
30078,0
39845,Not Available
30076,2
31909,Not Available
31210,Not Available
30214,0
30143,Not Available
30058,0
30263,6
30097,2
30265,0
96813,4
96793,0
96786,Not Available
96720,10
96734,10
96817,0
96819,3
96766,Not Available
96750,10
96813,4
96701,5
96743,Not Available
83301,10
83501,Not Available
83712,3
83706,7
83686,Not Available
83605,Not Available
83404,5
83440,Not Available
83201,0
83814,10
83704,Not Available
83404,Not Available
83854,Not Available
61520,Not Available
62002,0
60435,6
60160,0
60201,0
62948,Not Available
61021,Not Available
61354,Not Available
62301,0
60608,0
60504,10
60123,10
62401,Not Available
62801,Not Available
61401,Not Available
61081,Not Available
62864,10
60617,0
60302,10
62002,Not Available
62769,0
60402,10
62650,Not Available
62052,Not Available
60463,5
60304,Not Available
61401,Not Available
60525,0
61637,0
60628,Not Available
62207,Not Available
60202,6
60640,3
60644,10
60085,1
60637,2
61455,Not Available
61801,0
61832,Not Available
60623,Not Available
60099,Not Available
60450,Not Available
60621,0
61350,Not Available
61801,10
60625,0
60613,Not Available
60142,10
60631,0
60406,10
60612,2
61554,Not Available
60521,10
60612,0
62040,Not Available
61761,10
60045,Not Available
60629,10
62526,0
62246,Not Available
61362,Not Available
62230,Not Available
62450,Not Available
62781,2
60612,1
60901,Not Available
60616,4
61032,Not Available
61764,Not Available
61701,0
62902,0
62521,0
60461,2
60506,10
60098,Not Available
60649,Not Available
60805,3
60622,3
60617,0
60657,10
62959,Not Available
62226,0
60901,3
62222,0
61938,0
60426,10
60640,Not Available
60126,10
60048,0
60622,3
60453,7
61636,0
62946,Not Available
60134,10
60451,0
60123,0
60068,2
60657,10
61104,0
60540,6
61108,0
61354,Not Available
61103,6
60160,10
60190,10
60429,0
60634,0
60005,1
