zip_code,infection_score
19063,5
19104,0
17522,10
19107,0
15243,8
19001,4
17331,0
18848,Not Available
18501,3
17033,5
19047,0
18017,0
15025,0
16127,Not Available
15146,0
16803,5
18711,9
19102,0
19128,Not Available
19124,Not Available
18017,Not Available
19610,Not Available
18104,Not Available
19020,Not Available
15301,Not Available
19468,Not Available
17402,Not Available
18045,0
17403,Not Available
15146,5
19403,0
2860,Not Available
2904,Not Available
2840,Not Available
2902,8
2879,10
2886,1
2905,10
2895,0
2906,2
2891,Not Available
29730,6
29425,0
29536,Not Available
29303,0
29672,0
29550,Not Available
29671,Not Available
29641,Not Available
29203,0
29706,Not Available
29440,Not Available
29601,0
29204,4
29621,4
29488,10
29650,Not Available
29720,10
29681,Not Available
29325,Not Available
29340,Not Available
29020,Not Available
29526,2
29506,1
29108,Not Available
29574,Not Available
29401,10
29560,Not Available
29902,10
29115,0
29102,Not Available
29150,0
29646,0
29944,Not Available
29169,6
29605,0
29406,4
29925,0
29801,5
29307,0
29572,0
29220,7
29401,0
29464,Not Available
29505,0
29576,0
29927,Not Available
29615,Not Available
29651,Not Available
29401,Not Available
29569,Not Available
29212,1
57201,Not Available
57006,Not Available
57078,Not Available
57301,Not Available
57401,Not Available
57501,Not Available
57117,5
57117,8
57783,Not Available
57701,4
57049,Not Available
57105,Not Available
57701,Not Available
57108,Not Available
57402,Not Available
38301,0
37066,0
37207,0
37355,Not Available
38555,0
38485,Not Available
37804,1
37620,10
37920,1
37660,0
37643,Not Available
38478,Not Available
37745,Not Available
37067,6
37814,10
37748,0
37857,Not Available
37766,Not Available
37830,0
37040,6
37232,3
37055,Not Available
38120,5
38104,0
37743,Not Available
37129,4
37760,Not Available
37879,Not Available
37398,10
38501,1
38358,Not Available
38237,Not Available
37604,3
37172,Not Available
37814,Not Available
37371,Not Available
38024,Not Available
38401,7
37862,10
37205,4
38556,Not Available
37874,Not Available
37404,0
37334,Not Available
37403,1
38372,Not Available
37772,Not Available
37917,0
37916,0
38261,Not Available
38019,Not Available
38242,Not Available
37236,0
37160,Not Available
37388,0
37166,Not Available
37076,4
37110,Not Available
38103,0
37821,Not Available
37404,0
38118,10
37203,0
37923,1
38464,Not Available
37660,0
37762,Not Available
38119,6
37604,Not Available
37311,0
38570,Not Available
38305,10
38583,Not Available
37087,0
37075,Not Available
37211,0
37203,Not Available
37167,10
38133,4
79902,7
78028,Not Available
76301,0
77802,0
75235,0
77555,0
75246,3
77901,0
79905,4
78520,0
78044,1
75670,Not Available
78550,8
77702,3
77002,0
75601,3
76104,4
79410,1
76712,0
75390,3
78405,0
75203,7
76508,6
79556,Not Available
78705,6
78205,0
76012,0
77030,3
77566,6
75061,10
75455,Not Available
78102,Not Available
75701,0
76450,Not Available
76180,10
76240,Not Available
78852,0
77504,5
79065,Not Available
76712,5
75701,0
78155,Not Available
79902,2
78114,Not Available
78539,0
78701,3
78596,0
78205,10
79760,3
79701,5
76104,8
76104,0
79714,Not Available
77902,0
76031,Not Available
76549,0
78840,Not Available
79412,Not Available
78363,Not Available
78026,Not Available
78572,3
78801,Not Available
79735,Not Available
77008,0
77833,Not Available
76645,Not Available
77030,0
75766,Not Available
75460,6
75501,0
76086,10
79106,0
75901,10
78250,0
78643,Not Available
79029,Not Available
77304,0
79601,0
79106,6
75482,Not Available
78207,0
76234,0
78666,Not Available
75042,1
77054,4
75142,Not Available
77845,Not Available
75020,0
77469,0
76904,Not Available
77340,3
76661,Not Available
76401,Not Available
75401,0
77030,0
79201,Not Available
78934,Not Available
75165,Not Available
75234,Not Available
78229,1
75751,10
77351,Not Available
75069,10
76448,Not Available
76020,Not Available
75204,Not Available
77521,1
75110,Not Available
75231,6
77414,Not Available
75091,0
75652,Not Available
75904,10
75961,0
77640,5
75080,4
79072,Not Available
79606,0
76051,7
76067,Not Available
76903,4
75951,Not Available
76801,10
76048,Not Available
78624,Not Available
78336,Not Available
77024,0
77598,4
76210,0
77090,5
76022,4
78045,0
77082,0
75230,0
75075,7
79720,Not Available
78582,Not Available
75961,Not Available
77004,Not Available
79761,10
78526,0
79902,0
75057,10
77375,0
76104,0
77054,10
76015,0
76115,10
75218,10
77338,0
79415,0
75150,10
75708,Not Available
78224,10
75605,0
77058,0
78503,1
78704,0
77065,10
78681,6
75237,6
75010,0
75088,10
76201,0
75801,Not Available
76531,Not Available
79336,Not Available
75390,10
75093,10
77090,Not Available
77339,0
76132,0
78240,Not Available
78412,0
75504,2
77030,Not Available
78731,Not Available
78758,0
77479,0
75039,Not Available
78539,Not Available
76310,Not Available
78332,Not Available
75119,Not Available
75013,Not Available
77070,2
79902,Not Available
77494,3
77479,0
75226,Not Available
75034,Not Available
78550,Not Available
78258,Not Available
77478,Not Available
77384,0
75701,Not Available
78759,Not Available
78539,2
78746,Not Available
76017,Not Available
75063,Not Available
79124,Not Available
79416,Not Available
79936,Not Available
76110,Not Available
76262,Not Available
75035,Not Available
76092,Not Available
75231,Not Available
75093,0
75093,Not Available
76208,Not Available
75235,Not Available
84604,3
84102,Not Available
84403,10
84405,10
84143,0
84721,Not Available
84132,0
84157,4
84501,Not Available
84651,Not Available
84074,Not Available
84341,Not Available
84302,Not Available
84066,Not Available
84790,0
84003,Not Available
84701,Not Available
84078,Not Available
84041,Not Available
84010,Not Available
84094,Not Available
84124,0
84107,Not Available
84088,10
84057,Not Available
84341,Not Available
84060,Not Available
84065,Not Available
84020,Not Available
5641,Not Available
5401,0
5701,10
5301,Not Available
5201,Not Available
5478,Not Available
24273,Not Available
24266,Not Available
22801,6
22601,2
23507,2
22908,0
23505,5
24592,Not Available
23707,0
22939,10
22701,10
23860,Not Available
24501,5
22401,0
20186,Not Available
24014,0
23298,1
22630,Not Available
23413,Not Available
24354,Not Available
22304,3
23602,0
24073,8
20176,3
23434,1
20110,10
23502,6
24153,0
22205,1
23601,2
24211,0
23454,1
23226,0
24641,Not Available
22042,0
23185,10
23805,3
23116,6
24541,4
22911,10
24115,8
22560,Not Available
24523,Not Available
24151,Not Available
23901,Not Available
23851,Not Available
23666,0
23223,Not Available
23847,Not Available
23970,Not Available
22033,10
20190,10
24060,Not Available
24382,Not Available
23225,0
22191,1
24219,Not Available
24333,Not Available
24301,Not Available
24651,Not Available
23229,5
23456,0
23320,0
22306,1
22482,Not Available
24457,Not Available
24614,Not Available
23061,Not Available
23114,10
22554,Not Available
22408,4
23185,Not Available
20169,Not Available
98133,10
99362,Not Available
98274,0
98101,0
98221,Not Available
98195,4
98405,0
98902,Not Available
98201,5
98001,10
98807,4
98499,0
98506,4
98122,10
98026,10
98122,4
98225,1
98520,Not Available
98837,Not Available
98902,0
98948,Not Available
98310,10
98632,0
99210,7
99362,Not Available
98664,5
98004,10
99336,Not Available
99220,4
99352,0
98223,Not Available
98104,0
98362,Not Available
99208,0
98001,10
98272,Not Available
98055,0
98405,7
99216,Not Available
98034,6
98415,0
98502,Not Available
98003,0
98686,1
98332,10
98029,Not Available
26506,6
24970,1
25702,0
25401,10
25550,Not Available
26038,Not Available
25301,1
26062,3
26505,4
25309,0
26241,Not Available
25301,Not Available
26452,Not Available
26003,10
24740,0
26554,Not Available
25601,0
26003,0
25701,0
26101,10
25801,3
25801,0
24701,0
25661,Not Available
26651,Not Available
24801,Not Available
54481,Not Available
54601,1
53188,5
54915,4
54868,Not Available
54701,10
54729,Not Available
54501,Not Available
53143,10
53097,Not Available
53566,Not Available
54401,2
54495,Not Available
54241,Not Available
53083,Not Available
54449,7
53027,Not Available
53901,Not Available
53081,Not Available
54956,10
54904,Not Available
54305,10
53211,10
53913,Not Available
53105,Not Available
53066,Not Available
53005,Not Available
53547,0
54703,10
53538,Not Available
54301,0
53916,Not Available
53215,10
53715,0
54601,0
54935,0
53715,10
54568,Not Available
53578,Not Available
53405,0
54303,Not Available
53792,3
53511,Not Available
53121,Not Available
53051,10
54221,Not Available
53948,Not Available
54143,Not Available
53098,Not Available
53210,7
53215,5
53227,10
54911,7
53226,1
53142,Not Available
54313,1
53212,Not Available
54720,Not Available
54904,Not Available
54476,Not Available
53132,Not Available
53132,Not Available
53066,Not Available
53024,10
53546,Not Available
82716,Not Available
82801,Not Available
82501,Not Available
82901,Not Available
82601,1
82001,10
83001,Not Available
82072,Not Available
82930,Not Available
82605,Not Available
78746,Not Available
77598,Not Available
76063,5
77429,10
75093,10
77505,0
78664,Not Available
78664,0
78613,Not Available
75032,Not Available
79938,5
75231,Not Available
77478,2
78240,Not Available
78258,1
78640,10
77384,Not Available
75182,10
78414,Not Available
76015,Not Available
75028,Not Available
76012,Not Available
75001,Not Available
77070,Not Available
75090,Not Available
77094,0
78232,Not Available
78734,Not Available
76548,Not Available
75071,10
76244,Not Available
77845,Not Available
76177,Not Available
77584,Not Available
